Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1999-12-31,0.77,0.78,0.76,0.78,163811200,0.0,0.0
2000-01-03,0.8,0.86,0.78,0.85,535796800,0.0,0.0
2000-01-04,0.83,0.84,0.77,0.78,512377600,0.0,0.0
2000-01-05,0.79,0.84,0.79,0.79,778321600,0.0,0.0
2000-01-06,0.81,0.82,0.72,0.72,767972800,0.0,0.0
2000-01-07,0.74,0.77,0.73,0.76,460734400,0.0,0.0
2000-01-10,0.78,0.78,0.72,0.75,505064000,0.0,0.0
2000-01-11,0.73,0.76,0.69,0.71,441548800,0.0,0.0
2000-01-12,0.72,0.73,0.66,0.66,976068800,0.0,0.0
2000-01-13,0.72,0.75,0.71,0.74,1032684800,0.0,0.0
2000-01-14,0.76,0.78,0.76,0.77,390376000,0.0,0.0
2000-01-18,0.77,0.81,0.77,0.79,459177600,0.0,0.0
2000-01-19,0.81,0.83,0.79,0.81,597643200,0.0,0.0
2000-01-20,0.88,0.93,0.87,0.87,1831132800,0.0,0.0
2000-01-21,0.87,0.87,0.84,0.85,495924800,0.0,0.0
2000-01-24,0.83,0.86,0.8,0.81,440876800,0.0,0.0
2000-01-25,0.8,0.86,0.78,0.86,497145600,0.0,0.0
2000-01-26,0.84,0.87,0.84,0.84,367158400,0.0,0.0
2000-01-27,0.83,0.86,0.82,0.84,340144000,0.0,0.0
2000-01-28,0.82,0.85,0.77,0.77,423348800,0.0,0.0
2000-01-31,0.77,0.79,0.72,0.79,701680000,0.0,0.0
2000-02-01,0.79,0.8,0.76,0.76,318035200,0.0,0.0
2000-02-02,0.77,0.78,0.74,0.75,464195200,0.0,0.0
2000-02-03,0.76,0.79,0.76,0.79,475193600,0.0,0.0
2000-02-04,0.79,0.84,0.79,0.82,425320000,0.0,0.0
2000-02-07,0.82,0.87,0.81,0.87,441067200,0.0,0.0
2000-02-08,0.87,0.89,0.85,0.88,408643200,0.0,0.0
2000-02-09,0.87,0.89,0.86,0.86,299364800,0.0,0.0
2000-02-10,0.86,0.87,0.84,0.87,302982400,0.0,0.0
2000-02-11,0.87,0.87,0.83,0.83,212251200,0.0,0.0
2000-02-14,0.83,0.88,0.83,0.88,367539200,0.0,0.0
2000-02-15,0.88,0.91,0.88,0.91,485744000,0.0,0.0
2000-02-16,0.9,0.9,0.85,0.87,378246400,0.0,0.0
2000-02-17,0.88,0.88,0.86,0.88,289497600,0.0,0.0
2000-02-18,0.87,0.88,0.85,0.85,233441600,0.0,0.0
2000-02-22,0.84,0.89,0.81,0.87,422296000,0.0,0.0
2000-02-23,0.86,0.91,0.85,0.89,473099200,0.0,0.0
2000-02-24,0.89,0.91,0.85,0.88,376432000,0.0,0.0
2000-02-25,0.88,0.89,0.84,0.84,249144000,0.0,0.0
2000-02-28,0.84,0.88,0.83,0.86,328328000,0.0,0.0
2000-02-29,0.87,0.89,0.86,0.87,368961600,0.0,0.0
2000-03-01,0.9,1.01,0.9,0.99,1077003200,0.0,0.0
2000-03-02,0.97,0.98,0.92,0.93,311259200,0.0,0.0
2000-03-03,0.95,0.98,0.91,0.98,323366400,0.0,0.0
2000-03-06,0.96,0.98,0.95,0.96,210560000,0.0,0.0
2000-03-07,0.96,0.97,0.92,0.94,273011200,0.0,0.0
2000-03-08,0.94,0.94,0.9,0.93,271230400,0.0,0.0
2000-03-09,0.92,0.95,0.9,0.93,276718400,0.0,0.0
2000-03-10,0.93,0.98,0.92,0.96,248606400,0.0,0.0
2000-03-13,0.93,0.96,0.91,0.92,303956800,0.0,0.0
2000-03-14,0.92,0.95,0.87,0.87,428579200,0.0,0.0
2000-03-15,0.88,0.92,0.87,0.89,443609600,0.0,0.0
2000-03-16,0.89,0.93,0.87,0.93,378100800,0.0,0.0
2000-03-17,0.92,0.95,0.91,0.95,305043200,0.0,0.0
2000-03-20,0.94,0.96,0.93,0.94,204489600,0.0,0.0
2000-03-21,0.93,1.04,0.93,1.03,524328000,0.0,0.0
2000-03-22,1.01,1.1,1.0,1.1,567996800,0.0,0.0
2000-03-23,1.08,1.15,1.07,1.08,562564800,0.0,0.0
2000-03-24,1.09,1.1,1.03,1.06,446913600,0.0,0.0
2000-03-27,1.05,1.1,1.04,1.06,279182400,0.0,0.0
2000-03-28,1.05,1.08,1.05,1.06,202966400,0.0,0.0
2000-03-29,1.06,1.06,1.02,1.04,239836800,0.0,0.0
2000-03-30,1.02,1.05,0.96,0.96,414400000,0.0,0.0
2000-03-31,0.97,1.05,0.96,1.04,404633600,0.0,0.0
2000-04-03,1.03,1.06,0.99,1.02,328563200,0.0,0.0
2000-04-04,1.01,1.01,0.89,0.97,660329600,0.0,0.0
2000-04-05,0.96,1.01,0.95,0.99,457665600,0.0,0.0
2000-04-06,1.0,1.03,0.94,0.95,259627200,0.0,0.0
2000-04-07,0.97,1.01,0.96,1.0,242435200,0.0,0.0
2000-04-10,1.0,1.01,0.95,0.95,212262400,0.0,0.0
2000-04-11,0.94,0.95,0.9,0.91,541822400,0.0,0.0
2000-04-12,0.91,0.91,0.8,0.83,941136000,0.0,0.0
2000-04-13,0.85,0.91,0.83,0.87,529827200,0.0,0.0
2000-04-14,0.83,0.9,0.83,0.85,667620800,0.0,0.0
2000-04-17,0.83,0.94,0.83,0.94,409561600,0.0,0.0
2000-04-18,0.94,0.97,0.91,0.97,390924800,0.0,0.0
2000-04-19,0.96,0.99,0.91,0.92,520150400,0.0,0.0
2000-04-20,0.94,0.95,0.89,0.91,722120000,0.0,0.0
2000-04-24,0.88,0.92,0.87,0.92,443620800,0.0,0.0
2000-04-25,0.93,0.98,0.93,0.98,391641600,0.0,0.0
