Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-12-31,2.54,2.58,2.5,2.56,155844000,0,0.0
2009-01-02,2.57,2.73,2.55,2.72,145928000,0,0.0
2009-01-05,2.79,2.79,2.65,2.7,190196000,0,0.0
2009-01-06,2.73,2.91,2.69,2.87,221602000,0,0.0
2009-01-07,2.81,2.85,2.77,2.81,158854000,0,0.0
2009-01-08,2.75,2.87,2.73,2.86,131558000,0,0.0
2009-01-09,2.85,2.85,2.73,2.78,133682000,0,0.0
2009-01-12,2.71,2.71,2.54,2.6,191126000,0,0.0
2009-01-13,2.55,2.66,2.54,2.57,157664000,0,0.0
2009-01-14,2.51,2.51,2.41,2.42,208852000,0,0.0
2009-01-15,2.43,2.61,2.38,2.57,232346000,0,0.0
2009-01-16,2.59,2.62,2.48,2.58,165164000,0,0.0
2009-01-20,2.54,2.59,2.41,2.42,135344000,0,0.0
2009-01-21,2.47,2.53,2.41,2.53,116590000,0,0.0
2009-01-22,2.47,2.54,2.41,2.5,142666000,0,0.0
2009-01-23,2.44,2.57,2.42,2.53,115866000,0,0.0
2009-01-26,2.51,2.54,2.43,2.48,143114000,0,0.0
2009-01-27,2.46,2.52,2.39,2.42,174764000,0,0.0
2009-01-28,2.49,2.57,2.45,2.52,161132000,0,0.0
2009-01-29,2.5,2.59,2.46,2.5,359336000,0,0.0
2009-01-30,2.87,2.99,2.86,2.94,795662000,0,0.0
2009-02-02,2.93,3.1,2.91,3.06,386486000,0,0.0
2009-02-03,3.04,3.21,3.0,3.18,293892000,0,0.0
2009-02-04,3.17,3.17,3.04,3.05,274526000,0,0.0
2009-02-05,3.06,3.19,3.03,3.16,203392000,0,0.0
2009-02-06,3.16,3.35,3.16,3.33,240898000,0,0.0
2009-02-09,3.33,3.37,3.27,3.34,188752000,0,0.0
2009-02-10,3.31,3.36,3.15,3.17,214012000,0,0.0
2009-02-11,3.15,3.24,3.11,3.22,166946000,0,0.0
2009-02-12,3.16,3.21,3.09,3.2,161910000,0,0.0
2009-02-13,3.2,3.23,3.14,3.16,82618000,0,0.0
2009-02-17,3.08,3.13,3.06,3.08,142522000,0,0.0
2009-02-18,3.11,3.14,3.03,3.12,147320000,0,0.0
2009-02-19,3.14,3.21,3.08,3.1,135378000,0,0.0
2009-02-20,3.05,3.21,3.04,3.19,187090000,0,0.0
2009-02-23,3.21,3.25,3.08,3.09,146720000,0,0.0
2009-02-24,3.1,3.31,3.09,3.28,205428000,0,0.0
2009-02-25,3.24,3.29,3.14,3.19,182442000,0,0.0
2009-02-26,3.21,3.24,3.12,3.12,145506000,0,0.0
2009-02-27,3.06,3.25,3.05,3.24,229766000,0,0.0
2009-03-02,3.2,3.28,3.08,3.1,210238000,0,0.0
2009-03-03,3.14,3.16,3.07,3.09,193832000,0,0.0
2009-03-04,3.14,3.29,3.12,3.24,239218000,0,0.0
2009-03-05,3.21,3.29,3.18,3.24,235406000,0,0.0
2009-03-06,3.26,3.28,2.99,3.08,301876000,0,0.0
2009-03-09,3.11,3.2,3.01,3.02,271228000,0,0.0
2009-03-10,3.12,3.3,3.09,3.29,308714000,0,0.0
2009-03-11,3.31,3.47,3.26,3.43,277634000,0,0.0
2009-03-12,3.42,3.49,3.36,3.48,226978000,0,0.0
2009-03-13,3.48,3.49,3.38,3.43,178068000,0,0.0
2009-03-16,3.43,3.46,3.33,3.35,188746000,0,0.0
2009-03-17,3.37,3.59,3.35,3.57,238056000,0,0.0
2009-03-18,3.55,3.7,3.51,3.56,208034000,0,0.0
2009-03-19,3.57,3.6,3.46,3.51,176382000,0,0.0
2009-03-20,3.52,3.54,3.45,3.5,169362000,0,0.0
2009-03-23,3.57,3.78,3.54,3.78,172248000,0,0.0
2009-03-24,3.74,3.75,3.62,3.64,149158000,0,0.0
2009-03-25,3.65,3.7,3.49,3.62,157912000,0,0.0
2009-03-26,3.67,3.75,3.63,3.68,133154000,0,0.0
2009-03-27,3.58,3.61,3.51,3.53,171376000,0,0.0
2009-03-30,3.52,3.58,3.49,3.57,167462000,0,0.0
2009-03-31,3.63,3.72,3.61,3.67,178364000,0,0.0
2009-04-01,3.65,3.75,3.59,3.67,140828000,0,0.0
2009-04-02,3.68,3.86,3.67,3.82,221338000,0,0.0
2009-04-03,3.82,3.92,3.78,3.91,116198000,0,0.0
2009-04-06,3.86,3.92,3.8,3.9,115026000,0,0.0
2009-04-07,3.85,3.85,3.74,3.78,114976000,0,0.0
2009-04-08,3.8,3.86,3.73,3.85,113060000,0,0.0
2009-04-09,3.88,4.0,3.86,3.99,141646000,0,0.0
2009-04-13,3.99,4.0,3.89,3.95,124244000,0,0.0
2009-04-14,3.9,3.97,3.85,3.86,123208000,0,0.0
2009-04-15,3.78,3.79,3.68,3.74,188256000,0,0.0
