Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-12-31,14.48,14.76,14.45,14.58,46419000,0.0,0
2009-01-02,14.64,15.3,14.52,15.24,50084000,0.0,0
2009-01-05,15.15,15.5,15.04,15.39,61475200,0.0,0
2009-01-06,15.56,15.75,15.45,15.57,58083400,0.0,0
2009-01-07,15.14,15.21,14.61,14.63,72709900,0.0,0
2009-01-08,14.72,15.14,14.66,15.09,70255400,0.0,0
2009-01-09,15.12,15.22,14.55,14.64,49815300,0.0,0
2009-01-12,14.78,14.84,14.47,14.6,52163500,0.0,0
2009-01-13,14.64,14.99,14.64,14.86,65843500,0.0,0
2009-01-14,14.64,14.76,14.25,14.31,80257500,0.0,0
2009-01-15,14.3,14.47,13.89,14.43,96169800,0.0,0
2009-01-16,14.72,14.93,14.36,14.78,79634100,0.0,0
2009-01-20,14.59,14.71,13.77,13.86,89873000,0.0,0
2009-01-21,14.15,14.58,13.84,14.53,68340900,0.0,0
2009-01-22,13.53,13.63,12.8,12.83,222436600,0.0,0
2009-01-23,12.72,13.11,12.56,12.9,117020600,0.0,0
2009-01-26,12.96,13.35,12.92,13.22,92476500,0.0,0
2009-01-27,13.33,13.47,13.07,13.24,61695000,0.0,0
2009-01-28,13.35,13.73,13.32,13.53,64145500,0.0,0
2009-01-29,13.33,13.47,13.17,13.19,49192800,0.0,0
2009-01-30,13.3,13.34,12.82,12.82,62370900,0.0,0
2009-02-02,12.77,13.59,12.75,13.37,88871700,0.0,0
2009-02-03,13.38,13.95,13.2,13.87,86865100,0.0,0
2009-02-04,13.9,14.25,13.87,13.97,75618000,0.0,0
2009-02-05,13.88,14.35,13.68,14.28,75195200,0.0,0
2009-02-06,14.37,14.94,14.29,14.74,86746000,0.0,0
2009-02-09,14.73,14.82,14.44,14.58,52196400,0.0,0
2009-02-10,14.43,14.85,14.02,14.1,83953200,0.0,0
2009-02-11,14.2,14.61,14.19,14.4,58599000,0.0,0
