Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-12-31,68.55,70.0,68.38,69.44,193987200,0.0,0
2009-01-02,69.59,71.9,69.14,71.53,227566300,0.0,0
2009-01-05,71.28,72.07,70.71,71.45,240349700,0.0,0
2009-01-06,72.06,72.68,71.32,71.92,328260900,0.0,0
2009-01-07,70.79,70.99,69.41,69.77,280899200,0.0,0
2009-01-08,69.38,70.09,69.0,70.05,263834400,0.0,0
2009-01-09,70.15,70.27,65.68,68.55,330953600,0.0,0
2009-01-12,68.36,68.42,66.49,66.91,277858500,0.0,0
2009-01-13,66.74,67.62,66.33,67.03,356432300,0.0,0
2009-01-14,65.82,65.98,63.99,64.92,435491600,0.0,0
2009-01-15,64.73,65.6,62.88,64.95,532647300,0.0,0
2009-01-16,66.07,66.17,63.91,65.45,399237200,0.0,0
2009-01-20,64.81,65.45,61.6,62.0,419855200,0.0,0
2009-01-21,63.05,64.82,61.92,64.68,364360700,0.0,0
2009-01-22,63.42,64.67,62.46,63.68,427940300,0.0,0
2009-01-23,62.25,64.63,62.0,63.95,386800600,0.0,0
2009-01-26,64.32,65.68,63.72,64.39,317978800,0.0,0
2009-01-27,64.74,65.52,64.1,65.05,273789700,0.0,0
2009-01-28,66.48,67.68,66.23,67.25,330007000,0.0,0
2009-01-29,66.26,67.32,65.0,65.06,294392500,0.0,0
2009-01-30,65.39,65.71,63.26,63.74,383383600,0.0,0
2009-02-02,62.77,64.01,62.57,63.54,288233300,0.0,0
2009-02-03,63.94,64.91,63.27,64.44,278385800,0.0,0
2009-02-04,64.87,65.69,63.9,64.12,322989300,0.0,0
2009-02-05,63.64,65.63,59.81,65.08,417679400,0.0,0
2009-02-06,65.3,67.21,65.16,66.93,366101700,0.0,0
2009-02-09,66.92,67.52,66.42,67.02,240075200,0.0,0
2009-02-10,66.38,66.97,63.44,63.95,536212800,0.0,0
2009-02-11,64.21,64.68,63.41,64.33,324442500,0.0,0
2009-02-12,63.23,64.5,62.37,64.38,469302200,0.0,0
2009-02-13,64.29,64.82,63.67,63.68,293998400,0.0,0
2009-02-17,61.68,63.84,60.92,60.96,478910100,0.0,0
2009-02-18,61.4,61.51,60.24,60.81,362964800,0.0,0
2009-02-19,61.44,61.67,60.04,60.16,316867500,0.0,0
2009-02-20,59.04,60.28,58.3,59.57,477176600,0.0,0
2009-02-23,60.23,60.23,57.4,57.44,379641400,0.0,0
2009-02-24,57.94,59.98,57.48,59.62,426260900,0.0,0
2009-02-25,59.36,60.34,58.2,59.15,461985800,0.0,0
2009-02-26,59.88,61.31,58.12,58.19,363353900,0.0,0
2009-02-27,56.95,58.24,56.8,56.89,470510900,0.0,0
2009-03-02,55.8,56.88,54.15,54.33,426452600,0.0,0
2009-03-03,55.1,55.17,53.59,53.92,443761000,0.0,0
2009-03-04,54.81,56.07,53.92,55.2,462753100,0.0,0
2009-03-05,53.94,55.2,52.46,52.94,485549400,0.0,0
2009-03-06,53.4,54.21,51.63,53.03,490470000,0.0,0
2009-03-09,52.29,53.86,52.12,52.41,379905300,0.0,0
2009-03-10,53.49,55.69,53.38,55.53,406227900,0.0,0
2009-03-11,56.17,56.75,55.27,55.9,356648300,0.0,0
2009-03-12,55.88,58.29,55.38,58.1,409702700,0.0,0
2009-03-13,58.49,59.24,57.5,58.55,337474700,0.0,0
